i,d,n,th,p,v,la,lo,sc,st,cm,cn,xs,sat,sta,tp,vf
"BD-4591","Dhaka","ULAB Recycling Factory","Rosulpur","330001","critical","23.7227","90.3698","18","7200","59","Rahmat Ali Ideal Govt. Primary Scho","825","true","confirmed","YES — Insight Gaps BD-INV-003 (March 2026)","[CONFIRMED] Large-scale buildings with intact blue and grey corrugated metal roo"
"BD-4653","Dhaka","ULAB Recycle site","Nawabgonj","245307","critical","23.72173","90.37595","14","5600","267","Aloron School & College","613.3","false","assessed","YES — Insight Gaps BD-INV-003 (March 2026)","[UNCLEAR] The area shows a high-density residential or informal settlement patte"
"BD-5035","Chittagong","Lead Battery Works","Kapashgola","28304","high","22.36","91.84201","8","3200","53","Kapash Gola Primary School","70.8","false","confirmed","YES — Insight Gaps BD-INV-003 (March 2026)","[PROBABLE] Clusters of blue corrugated metal roofs are integrated into the high-"
"BD-4654","Dhaka","Battery ghat road","Borogram","267","low","23.71702","90.37673","8","3200","141","Oriental National School","0.7","true","confirmed","YES — Insight Gaps BD-INV-003 (March 2026)","[CONFIRMED] A distinct green corrugated metal workshop with an outdoor staging y"
"BD-7382","Khulna","ULAB Battery works","ULAB Battery works","54410","high","22.85724","89.04189","6","2400","53","Kalaroa G K M K Pilot High School","136","false","confirmed","YES — Insight Gaps BD-INV-003 (March 2026)","[PROBABLE] A prominent blue corrugated metal structure stands out from the surro"
"BD-7314","Khulna","Jibon battery works","Jibon battery works","23302","high","22.85977","89.04469","6","2400","232","Kalaroa Girls' PIlot High School, P","58.3","false","confirmed","YES — Insight Gaps BD-INV-003 (March 2026)","[PROBABLE] The imagery shows multiple sites with large corrugated metal roofs ad"
"BD-5062","Khulna","ULAB breaking and Recycling Work","Majompur","2238","moderate","23.90686","89.12119","5","2000","196","Kustia Zilla School","5.6","true","confirmed","YES — Insight Gaps BD-INV-003 (March 2026)","[CONFIRMED] The top-left corner features a large facility with multiple heavy tr"
"BD-2888","Dhaka","Industrial Pollution in Hemayetp","","9","low","23.83365","90.2591","5","2000","167","Ebac Public School, High school","0","false","confirmed","YES — Insight Gaps BD-INV-003 (March 2026)","[PROBABLE] Large white corrugated metal structures and warehouses are visible ad"
"BD-7356","Dhaka","Sunlite Battery Manufacturing","Gorai","23302","high","24.0977","90.15613","5","2000","370","Sohagpur Primary School সোহাগপুর প্","58.3","true","confirmed","YES — Insight Gaps BD-INV-003 (March 2026)","[CONFIRMED] Large industrial-scale buildings with red and corrugated metal roofi"
"BD-7407","Khulna","Battery works Majompur","Battery works Majomp","23302","high","23.90682","89.12038","5","2000","195","Kustia Zilla School","58.3","true","confirmed","YES — Insight Gaps BD-INV-003 (March 2026)","[CONFIRMED] A large facility in the top-center features multiple heavy trucks pa"
"BD-7173","Dhaka","ULAB breaking and smelting works","Dewanbari","152319","critical","24.65815","90.40196","4","1600","238","Kazi nazrul high school","380.8","false","assessed","YES — Insight Gaps BD-INV-003 (March 2026)","[UNCLEAR] Multiple brick kilns with distinctive long trench structures and clear"
"BD-5619","Dhaka","ULAB breaking and smelting works","Bhairab","62475","high","24.04898","90.98413","4","1600","224","Bhairab Ideal School","156.2","false","confirmed","YES — Insight Gaps BD-INV-003 (March 2026)","[PROBABLE] An open lot features a large, unpaved patch of greyish-white scrap ma"
"BD-7581","Rajshahi","ULAB breaking works","Hatkhola bazar","10435","high","25.85442","88.65505","4","1600","66","Birganj Pilot Govt. High School","26.1","false","assessed","YES — Insight Gaps BD-INV-003 (March 2026)","[NOT_INDUSTRIAL] The presence of a large, maintained U-shaped building and an ad"
"BD-4655","Dhaka","Lion Metal (Aluminum & Lead smel","Muslimbag","5749","moderate","23.71087","90.38933","4","1600","150","সিদ্দিক মিয়া সরকারি প্রাথমিক বিদ্য","14.4","false","assessed","YES — Insight Gaps BD-INV-003 (March 2026)","[UNCLEAR] The site is dominated by high-density residential structures and a tri"
"BD-4802","Dhaka","Doyaganj ULAB market","Doyagonj","297786","critical","23.70965","90.42577","3","1200","250","Madrasatus Suffa Al-Arabia Dhaka, A","744.5","false","assessed","YES — Insight Gaps BD-INV-003 (March 2026)","[NOT_INDUSTRIAL] The area is a high-density urban residential and commercial zon"
"BD-7303","Dhaka","ULAB breaking  site","goru bazar","16274","high","24.60996","90.02936","3","1200","14","Mukul Akademy Madhupur, School","40.7","false","assessed","YES — Insight Gaps BD-INV-003 (March 2026)","[UNCLEAR] The imagery depicts a dense urban center dominated by residential and "
"BD-4961","Rajshahi","Lead Battery Works","Truck Terminal Area","12455","high","24.80474","88.95596","3","1200","170","Chalkrampur Govt. School, Naogaon","31.1","true","confirmed","YES — Insight Gaps BD-INV-003 (March 2026)","[CONFIRMED] Multiple open yards containing clusters of heavy vehicles and stockp"
"BD-4786","Rajshahi","Vatkuri Battery Works","Tilokpur","2040","moderate","24.88005","89.00322","3","1200","481","unnamed","5.1","true","confirmed","YES — Insight Gaps BD-INV-003 (March 2026)","[CONFIRMED] The site features large-scale warehouse structures with intact blue "
"BD-7175","Dhaka","ULAB selling and recycling shop","Kotoali","356","low","24.75224","90.4151","3","1200","171","Premier Ideal High School","0.9","true","confirmed","YES — Insight Gaps BD-INV-003 (March 2026)","[CONFIRMED] Large industrial sheds with corrugated metal roofs and expansive pav"
"BD-5024","Chittagong","Lead Battery Works","Latifur","293","low","22.37683","91.7612","3","1200","113","Latifpur Alhajj Abdul Jalil High Sc","0.7","false","assessed","YES — Insight Gaps BD-INV-003 (March 2026)","[NOT_INDUSTRIAL] The area is predominantly composed of dense residential housing"
"BD-7565","Khulna","ULAB Pappu Battey house","ULAB Pappu Battey ho","30761","high","23.90258","89.14429","2","800","146","Hasan Zaman Lalon Junior High Schoo","76.9","false","assessed","YES — Insight Gaps BD-INV-003 (March 2026)","[NOT_INDUSTRIAL] The imagery shows a high-density urban residential and commerci"
"BD-4799","Khulna","Ismail Iron Market","Sheikh Para","20059","high","22.81656","89.55318","2","800","225","WZPDCL High School","50.1","false","assessed","YES — Insight Gaps BD-INV-003 (March 2026)","[UNCLEAR] The imagery shows a high-density residential or mixed-use settlement w"
"BD-5129","Khulna","ULAB breaking and Recycling Work","Boro Station Road","4744","moderate","23.90229","89.14504","2","800","215","Hasan Zaman Lalon Junior High Schoo","11.9","false","confirmed","YES — Insight Gaps BD-INV-003 (March 2026)","[PROBABLE] A large, dark-roofed industrial warehouse and adjacent staging yard a"
"BD-4954","Khulna","Lead Smelting Works","Damodar","4391","moderate","22.96601","89.47717","2","800","222","Govt Primary School","11","false","assessed","YES — Insight Gaps BD-INV-003 (March 2026)","[NOT_INDUSTRIAL] The landscape is dominated by dense tree canopy and small-scale"
"BD-8091","Dhaka","Metal (Scrap Iron) Recycling Wor","Majhar road","654","elevated","23.69058","90.42757","2","800","274","Riverview Cantonment Board School,","1.6","true","confirmed","YES — Insight Gaps BD-INV-003 (March 2026)","[CONFIRMED] The site features large-scale industrial warehouses, storage silos, "
"BD-8106","Dhaka","Fan Manufacturing Factory (Kashm","Syampur","192","low","23.67549","90.44639","2","800","285","unnamed","0.5","true","confirmed","YES — Insight Gaps BD-INV-003 (March 2026)","[CONFIRMED] Distinct white smoke plumes are rising from multiple industrial stru"
"BD-7206","Dhaka","ULAB recycling works","Kestopur beside Myme","23302","high","24.74707","90.41379","2","800","240","Salesian Sisters Nursing College, N","58.3","false","assessed","YES — Insight Gaps BD-INV-003 (March 2026)","[NOT_INDUSTRIAL] The area is composed of dense residential housing and a large c"
"BD-7172","Dhaka","ULAB recycling factory","Uzan Boilore","210312","critical","24.63447","90.39786","1","400","489","Boiler Kanhor Gov School","525.8","false","assessed","YES — Insight Gaps BD-INV-003 (March 2026)","[UNCLEAR] The imagery is dominated by aquaculture ponds and standard roadside re"
"BD-4808","Khulna","Jamal Engineering Works","Jamal Engineering Wo","142763","critical","22.81807","89.55534","1","400","443","WZPDCL High School","356.9","false","assessed","YES — Insight Gaps BD-INV-003 (March 2026)","[UNCLEAR] The area is a high-density urban residential and commercial district w"
"BD-8094","Dhaka","Leader Battery Manufacturing Fac","Leader Battery Manuf","100000","critical","23.69437","90.43706","1","400","93","Madrasatul Falah International Dhak","250","false","assessed","YES — Insight Gaps BD-INV-003 (March 2026)","[UNCLEAR] A large warehouse-style building with a corrugated roof is present, bu"
"BD-4820","Dhaka","ULAB Sales & Servicing Shops","Ponchoboti","88030","high","23.6311","90.47626","1","400","410","Hariharpara High School Field","220.1","true","confirmed","YES — Insight Gaps BD-INV-003 (March 2026)","[CONFIRMED] Multiple open-air yards show active textile processing (visible mult"
"BD-5311","Rajshahi","ULAB breaking and smelting works","Gobindaganj","48076","high","25.14659","89.38719","1","400","393","Khalshi Chandpur Munshipara Governm","120.2","false","assessed","YES — Insight Gaps BD-INV-003 (March 2026)","[NOT_INDUSTRIAL] The area consists almost entirely of agricultural fields and sm"
"BD-7280","Barisal","Lead Battery Breaking  works","rupatoli","12499","high","22.67994","90.34885","1","400","274","Shaheed Abdur Rab Serniyabad Govt.","31.2","false","assessed","YES — Insight Gaps BD-INV-003 (March 2026)","[UNCLEAR] The imagery displays a high density of residential structures and vege"
