site_id,site_latitude,site_longitude,max_soil_lead_ppm,school_id,school_name,school_latitude,school_longitude,distance_meters
BD-4591,23.7227,90.3698,330001.0,OSM_369,Amin Academy,23.7236515,90.3660837,392.83
BD-4591,23.7227,90.3698,330001.0,OSM_375,Shamsul Ulum Madrasa,23.7206205,90.3669075,374.4
BD-4591,23.7227,90.3698,330001.0,OSM_376,Sunshine Kindergarten And High School,23.7207448,90.3690252,231.27
BD-4591,23.7227,90.3698,330001.0,OSM_377,Iqaamatul Quran Model Madrasah,23.7203639,90.3686966,283.01
BD-4591,23.7227,90.3698,330001.0,OSM_381,Hazrat Osman Goni Madrasah,23.7218796,90.3708671,141.85
BD-4591,23.7227,90.3698,330001.0,OSM_388,BRAC School,23.7231375,90.3692906,71.1
BD-4591,23.7227,90.3698,330001.0,OSM_389,Matrichaya Academy,23.72082,90.369224,217.11
BD-4591,23.7227,90.3698,330001.0,OSM_390,Rahmat Ali Ideal Govt. Primary School,23.7226798,90.3692224,58.84
BD-4591,23.7227,90.3698,330001.0,OSM_392,Bismillah Arabiyah Madrasah,23.7244972,90.3655905,472.83
BD-4591,23.7227,90.3698,330001.0,OSM_474,Easy Method Int. School and College,23.7223808,90.3704976,79.39
BD-4591,23.7227,90.3698,330001.0,OSM_507,Stamford Public High School,23.7198261,90.3712775,353.19
BD-4591,23.7227,90.3698,330001.0,OSM_508,Sher-E-Bangla Public School,23.7194593,90.3699972,360.91
BD-4591,23.7227,90.3698,330001.0,OSM_542,Hasan Nagor Adrista Bidsalay,23.7205221,90.3656376,488.05
BD-4591,23.7227,90.3698,330001.0,OSM_543,Holy Faith Bidyapit,23.7198604,90.3662802,477.59
BD-4591,23.7227,90.3698,330001.0,OSM_896,Aloron School & College,23.7204876,90.3737029,467.31
BD-4591,23.7227,90.3698,330001.0,OSM_921,Holy Fair Public School,23.7209749,90.3726632,348.93
BD-4591,23.7227,90.3698,330001.0,OSM_931,Siam School,23.7205045,90.3718227,319.37
BD-4591,23.7227,90.3698,330001.0,OSM_5941,Al-Arafah Islamic International School & College,23.7264495,90.3672614,490.52
BD-4653,23.72173,90.37595,245307.0,OSM_468,Vatara Govt.Primary School,23.7240643,90.3796971,461.39
BD-4653,23.72173,90.37595,245307.0,OSM_469,Holy Homes International School & College,23.7239304,90.3797474,457.5
BD-4653,23.72173,90.37595,245307.0,OSM_470,Nabab Bagicha Govt. Primary School,23.7219686,90.378941,305.64
BD-4653,23.72173,90.37595,245307.0,OSM_471,GreenLand Model School,23.72126,90.3794722,362.35
BD-4653,23.72173,90.37595,245307.0,OSM_537,Mim International School,23.7183662,90.3729857,480.59
BD-4653,23.72173,90.37595,245307.0,OSM_888,Robiullah Sarkar Madrasah,23.7183556,90.3767371,383.68
BD-4653,23.72173,90.37595,245307.0,OSM_889,Oriental National School,23.7182715,90.376538,389.2
BD-4653,23.72173,90.37595,245307.0,OSM_890,SS International School,23.7191831,90.3756574,284.76
BD-4653,23.72173,90.37595,245307.0,OSM_891,Ideal Academy,23.7190256,90.3748027,322.6
BD-4653,23.72173,90.37595,245307.0,OSM_892,Motherland School & College,23.7198112,90.3741134,283.69
BD-4653,23.72173,90.37595,245307.0,OSM_896,Aloron School & College,23.7204876,90.3737029,267.23
BD-4653,23.72173,90.37595,245307.0,OSM_921,Holy Fair Public School,23.7209749,90.3726632,344.97
BD-4653,23.72173,90.37595,245307.0,OSM_931,Siam School,23.7205045,90.3718227,441.71
BD-5035,22.36,91.84201,28304.0,OSM_197,Kapash Gola Primary School,22.3600746,91.841504,52.69
BD-5035,22.36,91.84201,28304.0,OSM_639,Munir Coaching Centre,22.357057,91.8455772,491.59
BD-5035,22.36,91.84201,28304.0,OSM_918,Unnamed School,22.3590319,91.8412419,133.52
BD-5035,22.36,91.84201,28304.0,OSM_5546,"Chittagong Model School and College, Abdullah Khan Rd, Chattogram",22.3622909,91.8414327,261.56
BD-5035,22.36,91.84201,28304.0,OSM_5547,"Al Marjaan Hospitality Project., Kapasgola Rd, Chattogram",22.3591014,91.8400777,222.42
BD-5035,22.36,91.84201,28304.0,OSM_5548,"Katalgonj Govt. Primary School, Panchlaish Rd, Chattogram",22.3589118,91.837751,454.38
BD-5035,22.36,91.84201,28304.0,OSM_5568,"Mastermind International School, Katalgong, Chattogram",22.3612169,91.8383674,398.27
BD-5035,22.36,91.84201,28304.0,OSM_8137,Bakaia Residencial School & College,22.3572865,91.8454483,464.82
BD-4654,23.71702,90.37673,267.0,OSM_386,Azizia Islamia Madrasah,23.7137051,90.3779248,388.15
BD-4654,23.71702,90.37673,267.0,OSM_537,Mim International School,23.7183662,90.3729857,409.52
BD-4654,23.71702,90.37673,267.0,OSM_888,Robiullah Sarkar Madrasah,23.7183556,90.3767371,148.51
BD-4654,23.71702,90.37673,267.0,OSM_889,Oriental National School,23.7182715,90.376538,140.53
BD-4654,23.71702,90.37673,267.0,OSM_890,SS International School,23.7191831,90.3756574,264.15
BD-4654,23.71702,90.37673,267.0,OSM_891,Ideal Academy,23.7190256,90.3748027,297.04
BD-4654,23.71702,90.37673,267.0,OSM_892,Motherland School & College,23.7198112,90.3741134,409.0
BD-4654,23.71702,90.37673,267.0,OSM_896,Aloron School & College,23.7204876,90.3737029,493.6
BD-7382,22.85724,89.04189,54410.0,OSM_758,Kalaroa Shishu Laboratory School Play Grounds,22.8600707,89.0416903,315.42
BD-7382,22.85724,89.04189,54410.0,OSM_759,"Kalaroa Girls' PIlot High School, Play Grounds",22.8581861,89.0432211,172.25
BD-7382,22.85724,89.04189,54410.0,OSM_3851,Kolaroa High School,22.8605683,89.0405766,393.8
BD-7382,22.85724,89.04189,54410.0,OSM_3852,Kolaroa Govt Primary School,22.8578211,89.0457985,405.66
BD-7382,22.85724,89.04189,54410.0,OSM_8776,Kalaroa G K M K Pilot High School,22.8571043,89.0413942,52.99
BD-7382,22.85724,89.04189,54410.0,OSM_8777,Kalaroa Govt. Primary School,22.8575648,89.0408244,115.0
BD-7314,22.85977,89.04469,23302.0,OSM_758,Kalaroa Shishu Laboratory School Play Grounds,22.8600707,89.0416903,309.17
BD-7314,22.85977,89.04469,23302.0,OSM_759,"Kalaroa Girls' PIlot High School, Play Grounds",22.8581861,89.0432211,231.67
BD-7314,22.85977,89.04469,23302.0,OSM_3851,Kolaroa High School,22.8605683,89.0405766,430.71
BD-7314,22.85977,89.04469,23302.0,OSM_3852,Kolaroa Govt Primary School,22.8578211,89.0457985,244.67
BD-7314,22.85977,89.04469,23302.0,OSM_8776,Kalaroa G K M K Pilot High School,22.8571043,89.0413942,449.33
BD-7314,22.85977,89.04469,23302.0,OSM_8777,Kalaroa Govt. Primary School,22.8575648,89.0408244,465.84
BD-5062,23.90686,89.12119,2238.0,OSM_4262,Kalakakali Secondary School,23.9042162,89.1214636,295.29
BD-5062,23.90686,89.12119,2238.0,OSM_4263,Sahittik Mir Mosharraf Hossain High School,23.9055139,89.123275,259.48
BD-5062,23.90686,89.12119,2238.0,OSM_4264,Merit Model School,23.9061662,89.1229863,198.23
BD-5062,23.90686,89.12119,2238.0,OSM_4265,Kustia Zilla School,23.9051249,89.1208785,195.52
BD-5062,23.90686,89.12119,2238.0,OSM_7780,Kushtia Zilla School,23.9050816,89.1212527,197.85
BD-2888,23.83365,90.2591,9.0,OSM_1162,Savar Laboratory School সাভার ল্যাবরেটরি স্কুল,23.8363672,90.2615264,390.12
BD-2888,23.83365,90.2591,9.0,OSM_6500,"Ebac Public School, High school",23.834283,90.2605806,166.23
BD-2888,23.83365,90.2591,9.0,OSM_6502,Rabeya Moni International School,23.8353021,90.2608626,256.69
BD-2888,23.83365,90.2591,9.0,OSM_6515,"Learning View Kindergarten, School",23.8364414,90.2576167,345.11
BD-2888,23.83365,90.2591,9.0,OSM_6517,Rajabari Government Primary School,23.8319249,90.2557453,391.44
BD-7356,24.0977,90.15613,23302.0,OSM_331,Tangail Cotton Mills High School,24.0995587,90.1591797,372.21
BD-7356,24.0977,90.15613,23302.0,OSM_1062,Sohagpur Primary School সোহাগপুর প্রাথমিক বিদ্যালয়,24.0965674,90.1526979,370.44
BD-7356,24.0977,90.15613,23302.0,OSM_1063,Gorai High School গোড়াই উচ্চ বিদ্যালয়,24.0965139,90.1522727,413.15
BD-7356,24.0977,90.15613,23302.0,OSM_6344,Gorai High School,24.0968362,90.152345,396.02
BD-7356,24.0977,90.15613,23302.0,OSM_6345,Gorai Government Primary School,24.098797,90.160683,477.97
BD-7407,23.90682,89.12038,23302.0,OSM_4262,Kalakakali Secondary School,23.9042162,89.1214636,309.78
BD-7407,23.90682,89.12038,23302.0,OSM_4263,Sahittik Mir Mosharraf Hossain High School,23.9055139,89.123275,328.18
BD-7407,23.90682,89.12038,23302.0,OSM_4264,Merit Model School,23.9061662,89.1229863,274.74
BD-7407,23.90682,89.12038,23302.0,OSM_4265,Kustia Zilla School,23.9051249,89.1208785,195.18
BD-7407,23.90682,89.12038,23302.0,OSM_7780,Kushtia Zilla School,23.9050816,89.1212527,212.69
BD-7173,24.65815,90.40196,152319.0,OSM_563,Kazi nazrul high school,24.6602828,90.4019745,237.16
BD-7173,24.65815,90.40196,152319.0,OSM_6137,Pacific Ideal High School,24.6615919,90.4008081,400.03
BD-7173,24.65815,90.40196,152319.0,OSM_6140,"Abacus Model High School, High school",24.6603796,90.4003026,299.19
BD-7173,24.65815,90.40196,152319.0,OSM_6142,"Prime Computer Training Centre, School",24.6603162,90.400702,272.36
BD-5619,24.04898,90.98413,62475.0,OSM_2864,Bhairab Govt. K.B Pilot Model High School,24.0452489,90.9862946,469.51
BD-5619,24.04898,90.98413,62475.0,OSM_2865,Scholars International School,24.0449722,90.9852551,460.06
BD-5619,24.04898,90.98413,62475.0,OSM_2870,Bhairab MP Pilot Girls High School,24.0524439,90.9838179,386.47
BD-5619,24.04898,90.98413,62475.0,OSM_2871,Bhairab Ideal School,24.0470981,90.9848962,223.25
BD-7581,25.85442,88.65505,10435.0,OSM_5887,Ghoraband High School,25.8583761,88.6554772,441.97
BD-7581,25.85442,88.65505,10435.0,OSM_5889,TIMES Public School & College,25.8575526,88.6549576,348.45
BD-7581,25.85442,88.65505,10435.0,OSM_5891,"Ibrahim Memorial Shikkha Niketan, School",25.8559971,88.6554277,179.39
BD-7581,25.85442,88.65505,10435.0,OSM_5894,Birganj Pilot Govt. High School,25.8549845,88.6548502,65.88
BD-4655,23.71087,90.38933,5749.0,OSM_484,সিদ্দিক মিয়া সরকারি প্রাথমিক বিদ্যালয়,23.7098174,90.3884089,149.98
BD-4655,23.71087,90.38933,5749.0,OSM_485,Hazi Abdul Ali Samsul Ulum Madrasah & Orphanage,23.7103971,90.3878381,160.73
BD-4655,23.71087,90.38933,5749.0,OSM_486,Kamrangirchar Modern High School,23.710395,90.3870137,241.66
BD-4655,23.71087,90.38933,5749.0,OSM_528,Morning Sun Pre Cadet and High School,23.7095377,90.3859304,376.48
BD-4802,23.70965,90.42577,297786.0,OSM_5435,"Madrasatus Suffa Al-Arabia Dhaka, Adj. Baitun Najat Jame Masjid, Mir Hajirbag, Jatrabari, Dhaka",23.7082588,90.4276994,250.03
BD-4802,23.70965,90.42577,297786.0,OSM_8271,Kobbad Sardar School,23.7075479,90.4232035,350.59
BD-4802,23.70965,90.42577,297786.0,OSM_8573,Jatrabari Ideal High School,23.7112177,90.4298582,451.25
BD-7303,24.60996,90.02936,16274.0,OSM_2899,Madhupur Hatkhola Madrasah,24.6094949,90.0318631,258.28
BD-7303,24.60996,90.02936,16274.0,OSM_6422,"Mukul Akademy Madhupur, School",24.6099665,90.0294976,13.93
BD-7303,24.60996,90.02936,16274.0,OSM_6424,"Talimuddin Academy, High school",24.6112448,90.031415,252.13
BD-4961,24.80474,88.95596,12455.0,OSM_4821,"Marigold School, Naogaon",24.8065321,88.9532741,336.46
BD-4961,24.80474,88.95596,12455.0,OSM_4824,"Naogaon Mission School, Naogaon",24.8045051,88.9586341,271.18
BD-4961,24.80474,88.95596,12455.0,OSM_4825,"Chalkrampur Govt. School, Naogaon",24.8035293,88.9569805,169.51
